날짜,home team,away team,장소,경기 분류,home_score,away_score,away result,두산_허경민,두산_전민재,두산_정진호,두산_박건우,두산_양의지,두산_김인태,두산_최주환,두산_류지혁,두산_오재일,두산_백민기,두산_박세혁,두산_이병휘,롯데_민병헌,롯데_나경민,롯데_이대호,롯데_조홍석,롯데_손아섭,롯데_전준우,롯데_김문호,롯데_정훈,롯데_전병우,롯데_김동한,롯데_번즈,롯데_한동희,롯데_안중열,두산_이영하,두산_김강률,두산_김승회,롯데_송승준,롯데_오현택,롯데_정성종,롯데_장시환,KT_강백호,KT_송민섭,KT_이진영,KT_유한준,KT_배정대,KT_로하스,KT_박경수,KT_정현,KT_박기혁,KT_황재균,KT_오태곤,KT_윤석민,KT_장성우,KT_심우준,두산_정수빈,두산_김재환,두산_장승현,두산_김재호,두산_오재원,KT_니퍼트,KT_정성곤,KT_엄상백,KT_김재윤,KT_고창성,KT_홍성용,두산_이용찬,두산_박신지,두산_강동연,LG_이형종,LG_윤진호,LG_오지환,LG_박용택,LG_채은성,LG_이천웅,LG_서상우,LG_정상호,LG_양석환,LG_김용의,LG_유강남,LG_안익훈,LG_정주현,SK_김강민,SK_한동민,SK_정진기,SK_로맥,SK_김동엽,SK_김재현,SK_최항,SK_최정,SK_박정권,SK_김성현,SK_나주환,SK_허도환,SK_이재원,LG_임찬규,LG_김대현,LG_김영준,LG_성동현,LG_정찬헌,SK_박종훈,SK_문승원,SK_산체스,SK_신재웅,넥센_이정후,넥센_이택근,넥센_임병욱,넥센_김규민,넥센_샌즈,넥센_박병호,넥센_서건창,넥센_김하성,넥센_김지수,넥센_김민성,넥센_김혜성,넥센_송성문,넥센_김재현,넥센_고종욱,넥센_주효상,삼성_박해민,삼성_김상수,삼성_구자욱,삼성_러프,삼성_이원석,삼성_박한이,삼성_최영진,삼성_박찬도,삼성_이지영,삼성_김성훈,삼성_손주인,삼성_김헌곤,넥센_안우진,넥센_해커,넥센_윤영삼,넥센_오주원,넥센_김상수,넥센_신재영,넥센_김성민,삼성_아델만,삼성_최채흥,삼성_양창섭,삼성_최충연,롯데_나원탁,롯데_나종덕,KIA_김선빈,KIA_황윤호,KIA_안치홍,KIA_박준태,KIA_이범호,KIA_나지완,KIA_김주찬,KIA_정성훈,KIA_유민상,KIA_최원준,KIA_신범수,KIA_한승택,KIA_이창진,KIA_이인행,KIA_유재신,KIA_버나디나,KIA_최정민,KIA_최형우,롯데_김건국,롯데_배장호,KIA_홍건희,KIA_박준표,KIA_황인준,KIA_임기영,KIA_문경찬,KIA_김유신,NC_박민우,NC_권희동,NC_나성범,NC_모창민,NC_스크럭스,NC_노진혁,NC_이원재,NC_이우성,NC_김형준,NC_윤수강,NC_김태진,한화_정근우,한화_이용규,한화_호잉,한화_이성열,한화_양성우,한화_김태균,한화_김민하,한화_최진행,한화_하주석,한화_김회성,한화_정은원,한화_최재훈,NC_베렛,NC_강윤구,NC_정수민,NC_원종현,NC_이민호,한화_김민우,한화_샘슨,한화_박상원,한화_김범수,한화_송은범,한화_정우람,NC_강민국,NC_김철호,NC_정범모,NC_왕웨이중,NC_박진우,NC_구창모,NC_노성호,NC_김건태,NC_민태호,두산_유희관,KT_이대형,KT_김진곤,넥센_이승호,넥센_한현희,넥센_브리검,넥센_이보근,넥센_이상민,KT_금민철,KT_주권,KT_이종혁,KT_김태오,KT_김사율,롯데_채태인,롯데_문규현,KIA_김민식,롯데_김원중,롯데_구승민,롯데_윤길현,롯데_고효준,KIA_임창용,KIA_김윤동,KIA_임기준,KIA_윤석민,SK_강승호,SK_윤정우,SK_이성우,SK_박승욱,SK_이승진,SK_정동윤,SK_최민준,SK_정재원,SK_조성훈,두산_이현호,두산_이현승,롯데_노경은,롯데_손승락,KIA_헥터,KIA_김세현,SK_김광현,SK_윤희상,SK_김택형,SK_김태훈,SK_서진용,SK_채병용,두산_장원준,두산_윤수호,두산_최대성,두산_장민익,한화_지성준,한화_헤일,한화_권혁,한화_이태양,한화_김성훈,KIA_한승혁,KIA_이민우,KT_고명성,KT_이해창,롯데_신본기,KT_고영표,롯데_박세웅,롯데_윤성빈,KT_김민,롯데_레일리,롯데_이명우,삼성_강민호,삼성_최원제,삼성_김재현,삼성_강한울,삼성_백정현,삼성_우규민,SK_켈리,SK_정영일,SK_박정배,SK_강지광,KIA_박경태,KIA_팻딘,롯데_진명호,한화_오선진,한화_강경학,한화_안영명,한화_서균,KT_피어밴드,KT_배제성,NC_이종욱,NC_손시헌,NC_김진성,두산_함덕주,넥센_장영석,LG_가르시아,LG_장시윤,LG_차우찬,한화_장진혁,한화_임준섭,한화_장민재,삼성_배영섭,삼성_장필준,삼성_이승현,KIA_홍재호,한화_김태연,한화_김창혁,LG_임훈,LG_최동환,LG_진해수,KIA_이명기,삼성_김민수,KIA_양현종,KIA_박정수,삼성_권오준,삼성_정인욱,삼성_안성무,LG_홍창기,LG_배재준,LG_고우석,롯데_이병규,SK_정의윤,NC_최준석,NC_최성영,KIA_전상현,LG_이동현,SK_노수광,삼성_윤성환,삼성_임현준,한화_송광민,NC_이상호,NC_이형범,두산_황경태,두산_최원준,삼성_백승민,SK_전유수,삼성_보니야,KT_류희운,한화_백창수,한화_김종수,NC_김찬형,넥센_양현,LG_윌슨,LG_신정락,삼성_심창민,롯데_박시영,두산_조수행,두산_김민혁,두산_유재유,LG_박지규,NC_이재학,NC_유원상,SK_박민호,SK_조용호,NC_박석민,KT_김민수,넥센_서의태,넥센_김동준,LG_전인환,KT_오준혁,한화_김재영,한화_김진영,두산_이흥련,두산_후랭코프,KT_김영환,NC_박광열,LG_여건욱,KIA_유승철,두산_린드블럼,넥센_김종덕,넥센_하영민,넥센_김선기,두산_박치국,LG_소사,롯데_홍성민,NC_이재율,NC_지석훈,LG_배민관,KT_윤근영,한화_송창식,한화_윤규진,삼성_김용하,SK_박희수,NC_김성욱,두산_허준혁,LG_양원혁,한화_이동훈,한화_박주홍,롯데_정태승,KT_김지열,KT_신병률,롯데_허일,롯데_듀브론트,NC_도태훈,삼성_백상원,삼성_안주형,KIA_류승현,넥센_조덕길,LG_윤대영,LG_김기연,LG_김태형,삼성_박근홍,KT_심재민,롯데_오윤석,롯데_박헌도,삼성_김호재,KIA_하준영,SK_최승준,KT_전민수,LG_김현수,SK_박성한,NC_조원빈,SK_안상현,두산_반슬라이,두산_한주성,KT_이준수,넥센_허정협,넥센_최원태,NC_장현식,LG_손주영,LG_문광은,삼성_이성곤,KT_남태혁,SK_남윤성,삼성_최지광,LG_윤지웅,두산_양종민,한화_박준혁,한화_김인환,한화_정재원,LG_김재율,한화_김경태,넥센_초이스,KT_박세진,KT_하준호,두산_박성모,한화_최윤석,한화_이도윤,삼성_권정웅,롯데_조정훈,NC_배재환,두산_이우성,KIA_고영창,SK_이대수,NC_박헌욱,LG_김지용,두산_홍상삼,NC_강진성,NC_윤수호,NC_김재균,NC_심규범,넥센_김태완,롯데_김사훈,NC_윤강민,한화_휠러,삼성_한기주,삼성_정병곤,SK_백인식,LG_임지섭,두산_신성현,NC_오영수,KIA_이영욱,KIA_서동욱,NC_강구성,NC_류재인,LG_문성주,삼성_박민우,삼성_노진혁,삼성_나성범,삼성_스크럭스,삼성_김성욱,삼성_최준석,삼성_이상호,삼성_오영수,삼성_권희동,삼성_윤수강,삼성_손시헌,KT_이형종,KT_오지환,KT_박용택,KT_김현수,KT_채은성,KT_이천웅,KT_양석환,KT_윤진호,KT_유강남,KT_김용의,KT_김재율,KT_정주현,KT_서상우,KT_문성주,KT_정상호,삼성_베렛,삼성_장현식,삼성_김진성,삼성_강윤구,삼성_원종현,삼성_이민호,삼성_유원상,KT_윌슨,KT_신정락,KT_진해수,KT_김지용,KT_정찬헌,KT_고우석,KT_김대현,KT_배민관,넥센_문성현,KIA_김석환,KIA_백용환,롯데_황진수,롯데_김대우,넥센_예진원,두산_곽빈,NC_최금강,넥센_김정인,KT_최건,SK_이원준,삼성_김승현,NC_이인혁,삼성_조동찬,SK_임준혁,삼성_김대우,넥센_박정준,NC_윤병호,NC_이우석,삼성_장원삼,한화_강상원,KT_김동욱,LG_최성훈,한화_배영수,삼성_송준석,KT_이창진,두산_변진수,넥센_로저스,KIA_오준혁,KIA_심동섭,SK_이윤재,한화_정경운,두산_파레디스,LG_백승현,KIA_김주형,두산_국해성,넥센_박정음,두산_현도훈,KT_김용주,NC_김종민,넥센_박동원,두산_김정후,넥센_조상우,넥센_홍성갑,SK_봉민호,LG_문선재,KT_오정복,NC_신진호,두산_김민규,SK_김주한,롯데_정진호,롯데_허경민,롯데_류지혁,롯데_최주환,롯데_김민혁,롯데_김재환,롯데_조수행,롯데_이우성,롯데_양의지,롯데_박세혁,롯데_김재호,롯데_오재일,롯데_오재원,롯데_김인태,SK_이형종,SK_임훈,SK_오지환,SK_윤진호,SK_박용택,SK_김현수,SK_채은성,SK_유강남,SK_정상호,SK_김용의,SK_김재율,SK_양석환,SK_박지규,SK_정주현,롯데_린드블럼,롯데_김정후,롯데_곽빈,롯데_김강률,SK_차우찬,SK_이동현,SK_고우석,SK_최성훈,KT_배우열,LG_강승호,한화_김진욱,KT_이상화,KIA_김지성,KT_홍현빈,삼성_김응민,롯데_박진형,삼성_김시현,롯데_조무근,한화_강승현,KIA_정용운,넥센_이영준,NC_임창민,삼성_김성윤,LG_이우찬,한화_이동걸,한화_심수창,삼성_황수범,삼성_김기태,LG_임정우,넥센_김수환,넥센_추재현,넥센_손동욱,NC_천재환,KIA_오정환,롯데_김상호,NC_조평호,LG_장준원,SK_문광은,KIA_이종석,한화_정범모,삼성_김동호,한화_조정원,한화_김병현,롯데_강동관,NC_유영준,KIA_한준수
2018.05.09(수),KIA,두산,광주,5차전 KN-T,7,13,1,1.0,,0.5,0.5,1.0,1.0,1.0,0.5,1.0,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,1.0,,1.0,1.0,1.0,0.5,,,,,,,0.5,1.0,0.5,1.0,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018.05.09(수),넥센,한화,고척,7차전 SPO-T,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.5,1.0,,,,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.5,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018.05.08(화),NC,SK,마산,4차전 MS-T,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,1.0,1.0,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.5,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018.05.08(화),LG,롯데,잠실,4차전 SS-T,2,4,1,,,,,,,,,,,,,0.5,,1.0,,1.0,1.0,1.0,0.5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,1.0,,0.5,0.5,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018.05.08(화),KT,삼성,수원,4차전 SPO-2T,4,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.5,1.0,,1.0,1.0,,0.5,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,0.5,,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018.05.08(화),KIA,두산,광주,4차전 KN-T,10,0,0,1.0,,1.0,,1.0,,1.0,0.5,1.0,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,1.0,,1.0,1.0,1.0,0.5,,,,,,,0.5,1.0,0.5,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018.05.08(화),넥센,한화,고척,6차전 SPO-T,9,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,0.5,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.5,,1.0,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018.05.06(일),LG,두산,잠실,5차전 MS-T,5,13,1,1.0,,1.0,,1.0,1.0,1.0,0.5,1.0,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,1.0,0.5,1.0,1.0,1.0,,,0.5,1.0,1.0,1.0,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.5,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018.05.06(일),KIA,NC,광주,3차전 SS-T,11,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,1.0,,1.0,1.0,1.0,0.5,,,,,,,0.5,1.0,0.5,1.0,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018.05.05(토),LG,두산,잠실,4차전 M-T,0,3,1,1.0,,1.0,0.5,1.0,1.0,1.0,1.0,1.0,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.5,1.0,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,1.0,0.5,1.0,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.5,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018.05.05(토),SK,롯데,문학,"7차전 SPO-T,SPO-2T",1,8,1,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,0.5,0.5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018.05.05(토),삼성,한화,대구,5차전 SS-T,8,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,,0.5,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,1.0,,,0.5,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
